Initial Year,Rank,Club,Stat
2022,1,Manchester City,"4,236"
2022,2,Liverpool,"3,416"
2022,3,Brighton & Hove Albion,"3,374"
2022,4,Chelsea,"3,286"
2022,5,Manchester United,"3,148"
2022,6,Arsenal,"3,031"
2022,7,Wolverhampton Wanderers,"2,681"
2022,8,Tottenham Hotspur,"2,662"
2022,9,Crystal Palace,"2,644"
2022,10,Aston Villa,"2,576"
2022,11,Leicester City,"2,552"
2022,12,Fulham,"2,493"
2022,13,Southampton,"2,481"
2022,14,Newcastle United,"2,266"
2022,15,Leeds United,"2,230"
2022,16,Brentford,"2,222"
2022,17,Everton,"2,195"
2022,18,Bournemouth,"2,147"
2022,19,West Ham United,"2,092"
2022,20,Nottingham Forest,"1,763"
2021,1,Manchester City,"4,426"
2021,2,Chelsea,"3,698"
2021,3,Liverpool,"3,505"
2021,4,Brighton & Hove Albion,"3,069"
2021,5,Arsenal,"2,876"
2021,6,Crystal Palace,"2,829"
2021,7,Tottenham Hotspur,"2,825"
2021,8,Manchester United,"2,810"
2021,9,Leicester City,"2,765"
2021,10,Wolverhampton Wanderers,"2,665"
2021,11,West Ham United,"2,533"
2021,12,Southampton,"2,355"
2021,13,Leeds United,"2,306"
2021,14,Norwich City,"2,289"
2021,15,Brentford,"2,198"
2021,16,Aston Villa,"2,130"
2021,17,Watford,"2,005"
2021,18,Burnley,"1,999"
2021,19,Everton,"1,960"
2021,20,Newcastle United,"1,869"
2020,1,Manchester City,"4,275"
2020,2,Chelsea,"3,889"
2020,3,Liverpool,"3,472"
2020,4,Arsenal,"3,274"
2020,5,Manchester United,"3,080"
2020,6,Southampton,"2,983"
2020,7,Leicester City,"2,955"
2020,8,Wolverhampton Wanderers,"2,943"
2020,9,Tottenham Hotspur,"2,850"
2020,10,Fulham,"2,823"
2020,11,Brighton & Hove Albion,"2,777"
2020,12,Everton,"2,693"
2020,13,Leeds United,"2,666"
2020,14,Sheffield United,"2,405"
2020,15,Burnley,"2,344"
2020,16,Aston Villa,"2,308"
2020,17,West Ham United,"2,230"
2020,18,Crystal Palace,"2,173"
2020,19,Newcastle United,"2,088"
2020,20,West Bromwich Albion,"1,961"
2019,1,Manchester City,"4,216"
2019,2,Chelsea,"3,668"
2019,3,Liverpool,"3,395"
2019,4,Arsenal,"3,032"
2019,5,Norwich City,"3,005"
2019,6,Leicester City,"2,975"
2019,7,Manchester United,"2,790"
2019,8,Brighton & Hove Albion,"2,716"
2019,9,Wolverhampton Wanderers,"2,601"
2019,10,Tottenham Hotspur,"2,584"
2019,11,Southampton,"2,400"
2019,12,Crystal Palace,"2,344"
2019,13,Sheffield United,"2,312"
2019,14,West Ham United,"2,300"
2019,15,Everton,"2,275"
2019,16,Watford,"2,206"
2019,17,Bournemouth,"2,097"
2019,18,Aston Villa,"2,025"
2019,19,Newcastle United,"2,015"
2019,20,Burnley,"1,983"
2018,1,Manchester City,"4,240"
2018,2,Chelsea,"3,874"
2018,3,Liverpool,"3,416"
2018,4,Tottenham Hotspur,"3,191"
2018,5,Arsenal,"3,102"
2018,6,Fulham,"2,750"
2018,7,Manchester United,"2,634"
2018,8,Leicester City,"2,593"
2018,9,Wolverhampton Wanderers,"2,515"
2018,10,Huddersfield Town,"2,492"
2018,11,Everton,"2,362"
2018,12,Watford,"2,314"
2018,13,West Ham United,"2,273"
2018,14,Bournemouth,"2,249"
2018,15,Crystal Palace,"2,233"
2018,16,Brighton & Hove Albion,"2,072"
2018,17,Burnley,"2,046"
2018,18,Southampton,"2,040"
2018,19,Newcastle United,"1,999"
2018,20,Cardiff City,"1,418"
2017,1,Manchester City,"4,546"
2017,2,Liverpool,"3,313"
2017,3,Tottenham Hotspur,"3,176"
2017,4,Arsenal,"3,089"
2017,5,Chelsea,"3,019"
2017,6,Manchester United,"2,878"
2017,7,Southampton,"2,589"
2017,8,Swansea City,"2,582"
2017,9,Huddersfield Town,"2,267"
2017,10,Bournemouth,"2,257"
2017,11,Burnley,"2,245"
2017,12,Watford,"2,241"
2017,13,Everton,"2,212"
2017,14,Brighton & Hove Albion,"2,204"
2017,15,West Ham United,"2,177"
2017,16,Leicester City,"2,094"
2017,17,Crystal Palace,"2,091"
2017,18,West Bromwich Albion,"2,041"
2017,19,Newcastle United,"2,018"
2017,20,Stoke City,"1,979"
2016,1,Manchester City,"3,534"
2016,2,Liverpool,"3,292"
2016,3,Manchester United,"3,177"
2016,4,Tottenham Hotspur,"3,132"
2016,5,Chelsea,"2,967"
2016,6,Arsenal,"2,835"
2016,7,Southampton,"2,784"
2016,8,Everton,"2,743"
2016,9,Bournemouth,"2,651"
2016,10,Swansea City,"2,494"
2016,11,Hull City,"2,490"
2016,12,Middlesbrough,"2,448"
2016,13,West Ham United,"2,318"
2016,14,Watford,"2,200"
2016,15,Stoke City,"2,170"
2016,16,Crystal Palace,"2,108"
2016,17,Leicester City,"1,916"
2016,18,Burnley,"1,894"
2016,19,Sunderland,"1,882"
2016,20,West Bromwich Albion,"1,800"
2015,1,Manchester United,"3,221"
2015,2,Arsenal,"2,946"
2015,3,Chelsea,"2,933"
2015,4,Manchester City,"2,895"
2015,5,Liverpool,"2,842"
2015,6,Swansea City,"2,796"
2015,7,Tottenham Hotspur,"2,708"
2015,8,Everton,"2,699"
2015,9,Bournemouth,"2,541"
2015,10,Stoke City,"2,440"
2015,11,Southampton,"2,385"
2015,12,Newcastle United,"2,357"
2015,13,Aston Villa,"2,269"
2015,14,West Ham United,"2,236"
2015,15,Crystal Palace,"2,185"
2015,16,Watford,"2,164"
2015,17,Norwich City,"2,124"
2015,18,Leicester City,"1,970"
2015,19,Sunderland,"1,841"
2015,20,West Bromwich Albion,"1,638"
2014,1,Manchester United,"3,457"
2014,2,Chelsea,"3,259"
2014,3,Manchester City,"3,140"
2014,4,Swansea City,"2,918"
2014,5,Everton,"2,908"
2014,6,Southampton,"2,850"
2014,7,Arsenal,"2,793"
2014,8,Liverpool,"2,787"
2014,9,Tottenham Hotspur,"2,604"
2014,10,Aston Villa,"2,575"
2014,11,Newcastle United,"2,320"
2014,12,Stoke City,"2,317"
2014,13,Sunderland,"2,290"
2014,14,Hull City,"2,237"
2014,15,West Ham United,"2,180"
2014,16,West Bromwich Albion,"2,147"
2014,17,Leicester City,"1,985"
2014,18,Queens Park Rangers,"1,922"
2014,19,Burnley,"1,891"
2014,20,Crystal Palace,"1,732"
2013,1,Swansea City,"3,312"
2013,2,Arsenal,"3,211"
2013,3,Manchester City,"3,195"
2013,4,Southampton,"3,121"
2013,5,Liverpool,"2,959"
2013,6,Manchester United,"2,898"
2013,7,Everton,"2,871"
2013,8,Chelsea,"2,800"
2013,9,Tottenham Hotspur,"2,596"
2013,10,Stoke City,"2,453"
2013,11,Hull City,"2,431"
2013,12,Newcastle United,"2,424"
2013,13,Fulham,"2,329"
2013,14,Norwich City,"2,264"
2013,15,Sunderland,"2,254"
2013,16,Aston Villa,"2,231"
2013,17,Cardiff City,"2,195"
2013,18,West Bromwich Albion,"2,036"
2013,19,West Ham United,"2,016"
2013,20,Crystal Palace,"1,752"
2012,1,Swansea City,"3,599"
2012,2,Arsenal,"3,079"
2012,3,Liverpool,"3,004"
2012,4,Fulham,"2,887"
2012,5,Chelsea,"2,790"
2012,6,Wigan Athletic,"2,773"
2012,7,Manchester United,"2,727"
2012,8,Manchester City,"2,720"
2012,9,Southampton,"2,578"
2012,10,Tottenham Hotspur,"2,542"
2012,11,Newcastle United,"2,364"
2012,12,Everton,"2,271"
2012,13,Aston Villa,"2,236"
2012,14,Norwich City,"2,178"
2012,15,West Bromwich Albion,"2,123"
2012,16,West Ham United,"2,111"
2012,17,Sunderland,"1,984"
2012,18,Queens Park Rangers,"1,925"
2012,19,Stoke City,"1,838"
2012,20,Reading,"1,760"
2011,1,Swansea City,"3,726"
2011,2,Fulham,"3,004"
2011,3,Liverpool,"2,991"
2011,4,Tottenham Hotspur,"2,944"
2011,5,Manchester City,"2,937"
2011,6,Chelsea,"2,886"
2011,7,Manchester United,"2,765"
2011,8,Arsenal,"2,754"
2011,9,Wolverhampton Wanderers,"2,538"
2011,10,Norwich City,"2,420"
2011,11,Newcastle United,"2,384"
2011,12,Wigan Athletic,"2,322"
2011,13,Sunderland,"2,159"
2011,14,Everton,"2,108"
2011,15,West Bromwich Albion,"2,094"
2011,16,Aston Villa,"2,013"
2011,17,Queens Park Rangers,"2,005"
2011,18,Bolton Wanderers,"1,955"
2011,19,Blackburn Rovers,"1,934"
2011,20,Stoke City,"1,699"
2010,1,Fulham,"2,563"
2010,2,Blackpool,"2,543"
2010,3,Liverpool,"2,500"
2010,4,Manchester City,"2,469"
2010,5,Chelsea,"2,465"
2010,6,Manchester United,"2,411"
2010,7,Arsenal,"2,278"
2010,8,Wolverhampton Wanderers,"2,256"
