Initial Year,Rank,Club,Stat
2022,1,Everton,180
2022,2,Wolverhampton Wanderers,175
2022,3,Bournemouth,170
2022,4,Leicester City,170
2022,5,Brentford,168
2022,6,Southampton,165
2022,7,Nottingham Forest,156
2022,8,Tottenham Hotspur,148
2022,9,Manchester United,146
2022,10,West Ham United,139
2022,11,Leeds United,131
2022,12,Fulham,125
2022,13,Crystal Palace,119
2022,14,Aston Villa,118
2022,15,Newcastle United,116
2022,16,Chelsea,108
2022,17,Brighton & Hove Albion,104
2022,18,Manchester City,95
2022,19,Arsenal,86
2022,20,Liverpool,74
2021,1,Burnley,211
2021,2,Norwich City,180
2021,3,West Ham United,175
2021,4,Newcastle United,162
2021,5,Tottenham Hotspur,161
2021,6,Brighton & Hove Albion,150
2021,7,Watford,148
2021,8,Leicester City,147
2021,9,Leeds United,143
2021,10,Aston Villa,140
2021,11,Everton,140
2021,12,Crystal Palace,135
2021,13,Wolverhampton Wanderers,135
2021,14,Manchester United,133
2021,15,Southampton,132
2021,16,Arsenal,123
2021,17,Brentford,113
2021,18,Chelsea,96
2021,19,Liverpool,75
2021,20,Manchester City,55
2020,1,Burnley,181
2020,2,Newcastle United,160
2020,3,Aston Villa,159
2020,4,West Bromwich Albion,159
2020,5,Everton,157
2020,6,Sheffield United,152
2020,7,Leeds United,149
2020,8,Tottenham Hotspur,147
2020,9,Crystal Palace,138
2020,10,West Ham United,124
2020,11,Wolverhampton Wanderers,117
2020,12,Manchester United,116
2020,13,Arsenal,113
2020,14,Brighton & Hove Albion,97
2020,15,Fulham,95
2020,16,Southampton,95
2020,17,Leicester City,90
2020,18,Chelsea,83
2020,19,Manchester City,82
2020,20,Liverpool,58
2019,1,Aston Villa,184
2019,2,Burnley,175
2019,3,Norwich City,171
2019,4,Bournemouth,160
2019,5,Newcastle United,152
2019,6,Tottenham Hotspur,148
2019,7,Arsenal,141
2019,8,Brighton & Hove Albion,137
2019,9,Crystal Palace,135
2019,10,Watford,135
2019,11,Southampton,124
2019,12,West Ham United,117
2019,13,Everton,111
2019,14,Wolverhampton Wanderers,109
2019,15,Sheffield United,106
2019,16,Manchester United,99
2019,17,Leicester City,92
