Initial Year,Rank,Club,Stat
2022,1,Newcastle United,270
2022,2,Manchester City,238
2022,3,Liverpool,235
2022,4,Brighton & Hove Albion,233
2022,5,Arsenal,223
2022,6,Chelsea,209
2022,7,West Ham United,206
2022,8,Tottenham Hotspur,203
2022,9,Leeds United,199
2022,10,Manchester United,196
2022,11,Crystal Palace,186
2022,12,Wolverhampton Wanderers,185
2022,13,Fulham,182
2022,14,Everton,175
2022,15,Aston Villa,163
2022,16,Brentford,163
2022,17,Southampton,157
2022,18,Bournemouth,144
2022,19,Leicester City,135
2022,20,Nottingham Forest,128
2021,1,Manchester City,316
2021,2,Liverpool,282
2021,3,Chelsea,241
2021,4,Southampton,233
2021,5,Arsenal,208
2021,6,Brighton & Hove Albion,200
2021,7,West Ham United,200
2021,8,Manchester United,197
2021,9,Aston Villa,196
2021,10,Tottenham Hotspur,193
2021,11,Leicester City,185
2021,12,Burnley,183
2021,13,Crystal Palace,175
2021,14,Leeds United,170
2021,15,Wolverhampton Wanderers,168
2021,16,Norwich City,165
2021,17,Everton,161
2021,18,Watford,161
2021,19,Newcastle United,160
2021,20,Brentford,159
2020,1,Liverpool,257
2020,2,Manchester City,247
2020,3,Leeds United,229
2020,4,Chelsea,226
2020,5,Brighton & Hove Albion,219
2020,6,Aston Villa,213
2020,7,Leicester City,212
2020,8,Wolverhampton Wanderers,208
2020,9,Arsenal,207
2020,10,Manchester United,197
2020,11,Southampton,177
2020,12,Burnley,172
2020,13,Sheffield United,170
2020,14,Tottenham Hotspur,168
2020,15,Everton,167
2020,16,West Ham United,167
2020,17,Fulham,164
2020,18,Newcastle United,161
2020,19,Crystal Palace,151
2020,20,West Bromwich Albion,145
2019,1,Manchester City,298
2019,2,Liverpool,257
2019,3,Chelsea,247
2019,4,Arsenal,231
2019,5,Leicester City,221
2019,6,Sheffield United,212
2019,7,Southampton,210
2019,8,Manchester United,204
2019,9,Everton,203
2019,10,Aston Villa,200
2019,11,Tottenham Hotspur,200
2019,12,Bournemouth,194
2019,13,Wolverhampton Wanderers,193
2019,14,West Ham United,190
2019,15,Brighton & Hove Albion,178
2019,16,Crystal Palace,177
2019,17,Burnley,171
2019,18,Watford,167
2019,19,Norwich City,162
2019,20,Newcastle United,151
2018,1,Manchester City,298
2018,2,Liverpool,249
2018,3,Chelsea,215
2018,4,Everton,215
2018,5,Leicester City,210
2018,6,Arsenal,209
2018,7,Crystal Palace,205
