Initial Year,Rank,Club,Stat
2022,1,Liverpool,799
2022,2,Fulham,769
2022,3,West Ham United,768
2022,4,Manchester City,742
2022,5,Newcastle United,740
2022,6,Tottenham Hotspur,719
2022,7,Everton,704
2022,8,Brighton & Hove Albion,694
2022,9,Chelsea,693
2022,10,Arsenal,674
2022,11,Brentford,661
2022,12,Wolverhampton Wanderers,661
2022,13,Leeds United,653
2022,14,Southampton,613
2022,15,Crystal Palace,591
2022,16,Aston Villa,561
2022,17,Nottingham Forest,532
2022,18,Manchester United,517
2022,19,Bournemouth,512
2022,20,Leicester City,496
2021,1,Liverpool,897
2021,2,Manchester City,869
2021,3,West Ham United,802
2021,4,Burnley,747
2021,5,Chelsea,745
2021,6,Brighton & Hove Albion,728
2021,7,Southampton,711
2021,8,Aston Villa,670
2021,9,Manchester United,659
2021,10,Everton,653
2021,11,Leeds United,648
2021,12,Crystal Palace,643
2021,13,Brentford,640
2021,14,Arsenal,633
2021,15,Tottenham Hotspur,632
2021,16,Watford,610
2021,17,Newcastle United,592
2021,18,Wolverhampton Wanderers,587
2021,19,Norwich City,568
2021,20,Leicester City,556
2020,1,Liverpool,862
2020,2,Leeds United,786
2020,3,Aston Villa,779
2020,4,West Ham United,775
2020,5,Wolverhampton Wanderers,775
2020,6,Burnley,772
2020,7,Arsenal,751
2020,8,Chelsea,749
2020,9,Fulham,710
2020,10,Brighton & Hove Albion,686
2020,11,Sheffield United,666
2020,12,Everton,662
2020,13,Newcastle United,652
2020,14,Leicester City,649
2020,15,Manchester United,639
2020,16,Manchester City,632
2020,17,West Bromwich Albion,604
2020,18,Southampton,554
2020,19,Crystal Palace,533
2020,20,Tottenham Hotspur,526
2019,1,Manchester City,914
2019,2,Liverpool,896
2019,3,Sheffield United,866
2019,4,Chelsea,862
2019,5,Everton,804
2019,6,Aston Villa,798
2019,7,Leicester City,779
2019,8,Burnley,743
2019,9,West Ham United,737
2019,10,Wolverhampton Wanderers,718
2019,11,Arsenal,699
2019,12,Southampton,690
2019,13,Brighton & Hove Albion,689
2019,14,Watford,684
2019,15,Bournemouth,646
2019,16,Tottenham Hotspur,641
2019,17,Manchester United,635
2019,18,Newcastle United,591
2019,19,Crystal Palace,588
2019,20,Norwich City,473
2018,1,Everton,814
2018,2,Manchester City,783
2018,3,Leicester City,779
2018,4,Huddersfield Town,769
2018,5,Liverpool,721
2018,6,Newcastle United,711
2018,7,Burnley,693
2018,8,Chelsea,692
2018,9,Southampton,664
2018,10,Tottenham Hotspur,643
2018,11,Manchester United,638
2018,12,Brighton & Hove Albion,636
2018,13,West Ham United,630
2018,14,Wolverhampton Wanderers,622
2018,15,Bournemouth,613
2018,16,Fulham,611
2018,17,Arsenal,605
2018,18,Crystal Palace,577
2018,19,Watford,570
2018,20,Cardiff City,562
2017,1,Tottenham Hotspur,825
2017,2,Southampton,800
2017,3,West Bromwich Albion,784
