Initial Year,Rank,Club,Stat
2022,1,Manchester City,82
2022,2,Arsenal,79
2022,3,Liverpool,67
2022,4,Brighton & Hove Albion,63
2022,5,Tottenham Hotspur,60
2022,6,Newcastle United,56
2022,7,Manchester United,53
2022,8,Brentford,52
2022,9,Fulham,50
2022,10,Aston Villa,44
2022,11,Leeds United,41
2022,12,Leicester City,40
2022,13,Nottingham Forest,36
2022,14,Crystal Palace,35
2022,15,Bournemouth,34
2022,16,West Ham United,34
2022,17,Chelsea,33
2022,18,Everton,29
2022,19,Southampton,28
2022,20,Wolverhampton Wanderers,28
2021,1,Liverpool,86
2021,2,Manchester City,84
2021,3,Chelsea,63
2021,4,Tottenham Hotspur,62
2021,5,Leicester City,55
2021,6,Arsenal,52
2021,7,West Ham United,52
2021,8,Manchester United,49
2021,9,Aston Villa,46
2021,10,Brentford,45
2021,11,Crystal Palace,45
2021,12,Everton,38
2021,13,Newcastle United,37
2021,14,Brighton & Hove Albion,34
2021,15,Southampton,34
2021,16,Watford,34
2021,17,Leeds United,33
2021,18,Burnley,30
2021,19,Wolverhampton Wanderers,30
2021,20,Norwich City,20
2020,1,Manchester City,73
2020,2,Manchester United,65
2020,3,Liverpool,62
2020,4,West Ham United,59
2020,5,Tottenham Hotspur,58
2020,6,Leicester City,56
2020,7,Chelsea,55
2020,8,Arsenal,52
2020,9,Leeds United,48
2020,10,Aston Villa,47
2020,11,Everton,44
2020,12,Newcastle United,43
2020,13,Southampton,40
2020,14,Crystal Palace,36
2020,15,Brighton & Hove Albion,35
2020,16,Wolverhampton Wanderers,34
2020,17,Burnley,28
2020,18,West Bromwich Albion,27
2020,19,Fulham,25
2020,20,Sheffield United,18
2019,1,Manchester City,85
2019,2,Liverpool,72
2019,3,Chelsea,59
2019,4,Leicester City,59
2019,5,Tottenham Hotspur,55
2019,6,Manchester United,54
2019,7,Arsenal,51
2019,8,Wolverhampton Wanderers,46
2019,9,West Ham United,44
2019,10,Everton,43
2019,11,Southampton,39
2019,12,Sheffield United,38
2019,13,Aston Villa,37
2019,14,Burnley,37
2019,15,Bournemouth,36
2019,16,Watford,36
2019,17,Brighton & Hove Albion,35
2019,18,Newcastle United,34
2019,19,Crystal Palace,27
2019,20,Norwich City,24
