Initial Year,Rank,Club,Stat
2022,1,Bournemouth,527
2022,2,Everton,432
2022,3,Wolverhampton Wanderers,420
2022,4,Nottingham Forest,419
2022,5,Brentford,411
2022,6,Leicester City,404
2022,7,West Ham United,403
2022,8,Manchester United,399
2022,9,Crystal Palace,398
2022,10,Southampton,394
2022,11,Tottenham Hotspur,391
2022,12,Fulham,377
2022,13,Aston Villa,347
2022,14,Leeds United,330
2022,15,Newcastle United,316
2022,16,Chelsea,312
2022,17,Arsenal,283
2022,18,Liverpool,269
2022,19,Manchester City,209
2022,20,Brighton & Hove Albion,206
2021,1,Watford,457
2021,2,Tottenham Hotspur,431
2021,3,Norwich City,419
2021,4,Burnley,417
2021,5,Brentford,413
2021,6,West Ham United,409
2021,7,Newcastle United,394
2021,8,Wolverhampton Wanderers,390
2021,9,Leicester City,388
2021,10,Everton,379
2021,11,Manchester United,375
2021,12,Crystal Palace,360
2021,13,Brighton & Hove Albion,358
2021,14,Southampton,344
2021,15,Arsenal,315
2021,16,Chelsea,298
2021,17,Aston Villa,296
2021,18,Leeds United,268
2021,19,Liverpool,230
2021,20,Manchester City,190
2020,1,West Bromwich Albion,441
2020,2,Newcastle United,421
2020,3,West Ham United,416
2020,4,Tottenham Hotspur,409
2020,5,Everton,408
2020,6,Sheffield United,403
2020,7,Burnley,392
2020,8,Aston Villa,389
2020,9,Wolverhampton Wanderers,389
2020,10,Fulham,381
2020,11,Leicester City,350
2020,12,Crystal Palace,341
2020,13,Chelsea,340
2020,14,Arsenal,328
2020,15,Manchester United,320
2020,16,Southampton,316
2020,17,Brighton & Hove Albion,301
2020,18,Leeds United,293
2020,19,Liverpool,248
2020,20,Manchester City,231
2019,1,Newcastle United,478
2019,2,Bournemouth,471
2019,3,Sheffield United,455
2019,4,Norwich City,435
2019,5,Tottenham Hotspur,433
2019,6,Burnley,429
2019,7,Watford,397
2019,8,Everton,393
2019,9,Arsenal,388
2019,10,West Ham United,380
2019,11,Crystal Palace,374
2019,12,Southampton,373
2019,13,Aston Villa,361
2019,14,Brighton & Hove Albion,361
2019,15,Wolverhampton Wanderers,358
2019,16,Leicester City,344
2019,17,Manchester United,327
2019,18,Chelsea,296
2019,19,Liverpool,259
2019,20,Manchester City,241
2018,1,Newcastle United,564
2018,2,Burnley,539
2018,3,Bournemouth,515
2018,4,Southampton,502
2018,5,Leicester City,500
2018,6,Brighton & Hove Albion,499
2018,7,Crystal Palace,467
2018,8,Wolverhampton Wanderers,464
2018,9,Cardiff City,448
2018,10,Watford,447
2018,11,Fulham,443
2018,12,Everton,430
2018,13,Tottenham Hotspur,411
2018,14,Arsenal,404
2018,15,West Ham United,397
2018,16,Manchester United,370
2018,17,Chelsea,330
2018,18,Liverpool,317
2018,19,Manchester City,295
2018,20,Huddersfield Town,246
2017,1,Burnley,640
2017,2,Brighton & Hove Albion,625
