Initial Year,Rank,Club,Stat
2022,1,Brentford,"2,312"
2022,2,Everton,"2,280"
2022,3,Liverpool,"2,186"
2022,4,Wolverhampton Wanderers,"2,152"
2022,5,Crystal Palace,"2,145"
2022,6,Southampton,"2,096"
2022,7,Nottingham Forest,"2,094"
2022,8,West Ham United,"2,002"
2022,9,Fulham,"1,987"
2022,10,Manchester United,"1,963"
2022,11,Leeds United,"1,946"
2022,12,Newcastle United,"1,943"
2022,13,Aston Villa,"1,942"
2022,14,Bournemouth,"1,935"
2022,15,Tottenham Hotspur,"1,900"
2022,16,Leicester City,"1,868"
2022,17,Manchester City,"1,758"
2022,18,Chelsea,"1,744"
2022,19,Arsenal,"1,721"
2022,20,Brighton & Hove Albion,"1,710"
2021,1,Burnley,"2,619"
2021,2,Watford,"2,363"
2021,3,Brentford,"2,335"
2021,4,Crystal Palace,"2,292"
2021,5,Newcastle United,"2,257"
2021,6,Wolverhampton Wanderers,"2,245"
2021,7,Everton,"2,203"
2021,8,Brighton & Hove Albion,"2,182"
2021,9,Norwich City,"2,165"
2021,10,West Ham United,"2,150"
2021,11,Leeds United,"2,120"
2021,12,Liverpool,"2,110"
2021,13,Southampton,"2,085"
2021,14,Leicester City,"1,985"
2021,15,Aston Villa,"1,877"
2021,16,Manchester United,"1,876"
2021,17,Arsenal,"1,865"
2021,18,Manchester City,"1,851"
2021,19,Chelsea,"1,796"
2021,20,Tottenham Hotspur,"1,691"
2020,1,Burnley,"2,914"
2020,2,West Bromwich Albion,"2,366"
2020,3,Aston Villa,"2,350"
2020,4,Newcastle United,"2,304"
2020,5,Sheffield United,"2,280"
2020,6,Brighton & Hove Albion,"2,264"
2020,7,Everton,"2,208"
2020,8,Wolverhampton Wanderers,"2,186"
2020,9,West Ham United,"2,142"
2020,10,Leeds United,"2,131"
2020,11,Fulham,"2,085"
2020,12,Tottenham Hotspur,"2,081"
2020,13,Crystal Palace,"2,041"
2020,14,Liverpool,"2,032"
2020,15,Southampton,"2,029"
2020,16,Leicester City,"1,984"
