Initial Year,Rank,Club,Stat
2022,1,Liverpool,84
2022,2,Leicester City,83
2022,3,Manchester United,80
2022,4,Chelsea,74
2022,5,Brentford,72
2022,6,Newcastle United,71
2022,7,Brighton & Hove Albion,70
2022,8,Nottingham Forest,67
2022,9,Tottenham Hotspur,67
2022,10,Everton,64
2022,11,West Ham United,62
2022,12,Wolverhampton Wanderers,62
2022,13,Fulham,60
2022,14,Leeds United,60
2022,15,Aston Villa,58
2022,16,Crystal Palace,58
2022,17,Southampton,57
2022,18,Arsenal,56
2022,19,Manchester City,51
2022,20,Bournemouth,38
2021,1,Burnley,101
2021,2,Manchester United,88
2021,3,Newcastle United,71
2021,4,Chelsea,69
2021,5,Arsenal,66
2021,6,Brentford,66
2021,7,Manchester City,66
2021,8,Crystal Palace,63
2021,9,Leeds United,63
2021,10,Liverpool,63
2021,11,Tottenham Hotspur,62
2021,12,Wolverhampton Wanderers,61
2021,13,Leicester City,60
2021,14,West Ham United,59
2021,15,Norwich City,55
2021,16,Watford,54
2021,17,Brighton & Hove Albion,53
2021,18,Everton,53
2021,19,Aston Villa,52
2021,20,Southampton,42
2020,1,Burnley,80
2020,2,Chelsea,79
2020,3,Leeds United,76
2020,4,Manchester United,76
2020,5,Southampton,76
2020,6,West Bromwich Albion,75
2020,7,West Ham United,74
2020,8,Sheffield United,73
2020,9,Aston Villa,71
2020,10,Leicester City,71
2020,11,Crystal Palace,67
2020,12,Everton,65
2020,13,Liverpool,65
2020,14,Arsenal,61
2020,15,Newcastle United,60
2020,16,Manchester City,57
2020,17,Brighton & Hove Albion,52
2020,18,Tottenham Hotspur,45
2020,19,Fulham,43
2020,20,Wolverhampton Wanderers,38
2019,1,Burnley,89
2019,2,Sheffield United,78
2019,3,Newcastle United,75
2019,4,Arsenal,73
2019,5,Brighton & Hove Albion,71
2019,6,Manchester City,69
2019,7,Watford,68
2019,8,Bournemouth,67
2019,9,Tottenham Hotspur,66
2019,10,West Ham United,66
2019,11,Leicester City,64
2019,12,Chelsea,63
2019,13,Aston Villa,62
2019,14,Everton,58
2019,15,Southampton,58
2019,16,Manchester United,56
2019,17,Crystal Palace,53
2019,18,Liverpool,53
2019,19,Norwich City,50
2019,20,Wolverhampton Wanderers,49
2018,1,Burnley,106
2018,2,Manchester City,98
2018,3,Brighton & Hove Albion,90
2018,4,Fulham,90
2018,5,Manchester United,90
2018,6,Arsenal,89
2018,7,Watford,89
2018,8,Chelsea,83
2018,9,Crystal Palace,78
2018,10,Cardiff City,77
2018,11,Liverpool,77
2018,12,Tottenham Hotspur,74
2018,13,Wolverhampton Wanderers,73
2018,14,Leicester City,72
2018,15,West Ham United,72
2018,16,Everton,69
2018,17,Huddersfield Town,63
2018,18,Southampton,61
2018,19,Newcastle United,59
2018,20,Bournemouth,57
2017,1,Chelsea,108
2017,2,Burnley,100
2017,3,Brighton & Hove Albion,98
2017,4,West Ham United,97
2017,5,Leicester City,92
2017,6,Arsenal,89
2017,7,Manchester United,88
2017,8,Tottenham Hotspur,88
2017,9,Stoke City,87
2017,10,Everton,82
2017,11,West Bromwich Albion,79
2017,12,Watford,74
2017,13,Southampton,73
2017,14,Liverpool,70
2017,15,Huddersfield Town,67
2017,16,Manchester City,67
2017,17,Newcastle United,63
2017,18,Crystal Palace,56
2017,19,Bournemouth,52
2017,20,Swansea City,38
2016,1,Burnley,101
2016,2,Manchester United,99
2016,3,Arsenal,95
2016,4,Manchester City,89
2016,5,Stoke City,85
2016,6,Everton,82
2016,7,Sunderland,78
2016,8,Liverpool,77
2016,9,Tottenham Hotspur,74
2016,10,West Ham United,74
2016,11,Southampton,73
2016,12,Hull City,71
2016,13,Leicester City,65
2016,14,Chelsea,64
2016,15,Watford,61
2016,16,West Bromwich Albion,58
2016,17,Crystal Palace,55
2016,18,Bournemouth,53
2016,19,Middlesbrough,51
2016,20,Swansea City,49
2015,1,Stoke City,103
2015,2,Southampton,98
2015,3,Norwich City,93
2015,4,Liverpool,91
2015,5,Chelsea,90
2015,6,Sunderland,88
2015,7,Arsenal,86
2015,8,Swansea City,82
2015,9,West Ham United,82
2015,10,Crystal Palace,81
2015,11,Manchester United,75
2015,12,Tottenham Hotspur,72
2015,13,West Bromwich Albion,68
2015,14,Bournemouth,66
2015,15,Manchester City,63
2015,16,Newcastle United,59
2015,17,Everton,55
2015,18,Watford,52
2015,19,Leicester City,50
2015,20,Aston Villa,42
2014,1,Southampton,93
2014,2,West Ham United,91
2014,3,Manchester United,87
2014,4,Everton,83
2014,5,Queens Park Rangers,81
2014,6,Swansea City,80
2014,7,Manchester City,78
2014,8,Crystal Palace,77
2014,9,Tottenham Hotspur,77
2014,10,Chelsea,75
2014,11,Liverpool,75
2014,12,Stoke City,75
2014,13,Hull City,72
2014,14,Aston Villa,70
2014,15,Sunderland,69
2014,16,West Bromwich Albion,65
2014,17,Arsenal,64
2014,18,Burnley,64
2014,19,Leicester City,60
2014,20,Newcastle United,38
2013,1,Chelsea,106
2013,2,Manchester United,97
2013,3,Southampton,97
2013,4,West Bromwich Albion,91
2013,5,Fulham,86
2013,6,Hull City,86
2013,7,Aston Villa,84
2013,8,Cardiff City,81
2013,9,Stoke City,81
2013,10,Everton,80
2013,11,Liverpool,78
2013,12,Newcastle United,78
2013,13,Swansea City,76
2013,14,West Ham United,76
2013,15,Arsenal,74
2013,16,Crystal Palace,71
2013,17,Sunderland,70
2013,18,Tottenham Hotspur,64
2013,19,Manchester City,59
2013,20,Norwich City,48
2012,1,Liverpool,110
2012,2,Queens Park Rangers,108
2012,3,Everton,100
2012,4,West Bromwich Albion,100
2012,5,Aston Villa,97
2012,6,Norwich City,97
2012,7,Manchester United,96
2012,8,Swansea City,87
2012,9,Southampton,86
2012,10,Newcastle United,84
2012,11,Wigan Athletic,83
2012,12,West Ham United,82
2012,13,Arsenal,80
2012,14,Chelsea,80
2012,15,Reading,80
2012,16,Tottenham Hotspur,77
2012,17,Manchester City,75
2012,18,Fulham,74
2012,19,Stoke City,72
2012,20,Sunderland,68
2011,1,Liverpool,128
2011,2,West Bromwich Albion,128
