Initial Year,Rank,Club,Stat
2022,1,Manchester City,"25,072"
2022,2,Liverpool,"22,401"
2022,3,Brighton & Hove Albion,"21,280"
2022,4,Chelsea,"21,149"
2022,5,Arsenal,"20,450"
2022,6,Manchester United,"19,086"
2022,7,Tottenham Hotspur,"18,042"
2022,8,Leicester City,"17,365"
2022,9,Wolverhampton Wanderers,"16,712"
2022,10,Fulham,"16,197"
2022,11,Newcastle United,"16,052"
2022,12,Aston Villa,"15,940"
2022,13,Crystal Palace,"15,707"
2022,14,Leeds United,"15,160"
2022,15,Southampton,"14,796"
2022,16,West Ham United,"14,638"
2022,17,Everton,"14,152"
2022,18,Bournemouth,"13,931"
2022,19,Brentford,"13,920"
2022,20,Nottingham Forest,"12,091"
2021,1,Manchester City,"26,132"
2021,2,Liverpool,"23,588"
2021,3,Chelsea,"23,179"
2021,4,Tottenham Hotspur,"19,165"
2021,5,Manchester United,"19,035"
2021,6,Brighton & Hove Albion,"18,835"
2021,7,Leicester City,"18,578"
2021,8,Arsenal,"18,290"
2021,9,Wolverhampton Wanderers,"17,517"
2021,10,Crystal Palace,"17,309"
2021,11,West Ham United,"16,579"
2021,12,Leeds United,"16,503"
2021,13,Southampton,"15,288"
2021,14,Aston Villa,"14,886"
2021,15,Brentford,"14,604"
2021,16,Norwich City,"14,466"
2021,17,Watford,"13,046"
2021,18,Everton,"12,944"
2021,19,Newcastle United,"12,503"
2021,20,Burnley,"12,319"
2020,1,Manchester City,"25,651"
2020,2,Liverpool,"24,292"
2020,3,Chelsea,"24,070"
2020,4,Manchester United,"20,996"
2020,5,Arsenal,"20,126"
2020,6,Leicester City,"19,577"
2020,7,Tottenham Hotspur,"19,070"
2020,8,Leeds United,"18,652"
2020,9,Brighton & Hove Albion,"18,185"
2020,10,Fulham,"17,796"
2020,11,Southampton,"17,690"
2020,12,Wolverhampton Wanderers,"17,522"
2020,13,Everton,"17,132"
2020,14,Aston Villa,"15,189"
2020,15,West Ham United,"15,152"
2020,16,Sheffield United,"14,647"
2020,17,Crystal Palace,"14,067"
2020,18,Burnley,"13,846"
2020,19,Newcastle United,"13,116"
2020,20,West Bromwich Albion,"12,389"
2019,1,Manchester City,"26,329"
2019,2,Liverpool,"23,872"
2019,3,Chelsea,"23,244"
2019,4,Manchester United,"20,059"
2019,5,Leicester City,"19,915"
2019,6,Arsenal,"18,649"
2019,7,Tottenham Hotspur,"18,644"
2019,8,Brighton & Hove Albion,"18,188"
2019,9,Norwich City,"17,362"
2019,10,Wolverhampton Wanderers,"16,764"
2019,11,Everton,"15,826"
2019,12,Southampton,"15,667"
2019,13,West Ham United,"15,101"
2019,14,Sheffield United,"14,922"
2019,15,Bournemouth,"14,694"
2019,16,Crystal Palace,"14,688"
2019,17,Watford,"14,067"
2019,18,Aston Villa,"13,835"
2019,19,Newcastle United,"13,066"
2019,20,Burnley,"12,814"
2018,1,Manchester City,"26,581"
2018,2,Chelsea,"25,070"
2018,3,Liverpool,"23,638"
2018,4,Tottenham Hotspur,"21,295"
2018,5,Arsenal,"20,805"
2018,6,Manchester United,"19,202"
2018,7,Fulham,"17,699"
2018,8,Leicester City,"17,219"
2018,9,Wolverhampton Wanderers,"16,618"
2018,10,Everton,"16,494"
2018,11,West Ham United,"16,358"
2018,12,Bournemouth,"15,943"
2018,13,Huddersfield Town,"15,902"
2018,14,Watford,"15,462"
2018,15,Crystal Palace,"15,243"
2018,16,Southampton,"14,297"
2018,17,Brighton & Hove Albion,"14,109"
2018,18,Newcastle United,"13,490"
2018,19,Burnley,"13,011"
2018,20,Cardiff City,"10,226"
2017,1,Manchester City,"28,241"
2017,2,Arsenal,"23,524"
2017,3,Liverpool,"22,962"
2017,4,Tottenham Hotspur,"21,660"
2017,5,Chelsea,"21,264"
2017,6,Manchester United,"20,064"
2017,7,Southampton,"17,174"
2017,8,Bournemouth,"16,131"
2017,9,Swansea City,"15,721"
2017,10,Watford,"15,654"
2017,11,Leicester City,"15,200"
2017,12,Huddersfield Town,"14,960"
2017,13,Everton,"14,749"
2017,14,Brighton & Hove Albion,"14,675"
2017,15,Crystal Palace,"14,372"
2017,16,West Ham United,"14,369"
2017,17,Newcastle United,"14,028"
2017,18,Burnley,"13,572"
2017,19,West Bromwich Albion,"13,218"
2017,20,Stoke City,"12,892"
2016,1,Manchester City,"22,705"
2016,2,Liverpool,"22,283"
2016,3,Arsenal,"21,392"
2016,4,Manchester United,"20,247"
2016,5,Tottenham Hotspur,"20,153"
2016,6,Chelsea,"20,125"
2016,7,Southampton,"18,240"
2016,8,Everton,"17,584"
2016,9,Bournemouth,"17,145"
2016,10,Swansea City,"16,125"
2016,11,Middlesbrough,"15,736"
2016,12,Hull City,"15,610"
2016,13,West Ham United,"15,134"
2016,14,Stoke City,"14,558"
2016,15,Watford,"14,049"
2016,16,Leicester City,"13,674"
2016,17,Crystal Palace,"13,543"
2016,18,Burnley,"12,559"
2016,19,Sunderland,"12,360"
2016,20,West Bromwich Albion,"11,821"
2015,1,Arsenal,"21,249"
2015,2,Manchester City,"20,488"
2015,3,Manchester United,"20,070"
2015,4,Liverpool,"19,733"
2015,5,Chelsea,"19,664"
2015,6,Tottenham Hotspur,"18,649"
2015,7,Swansea City,"18,169"
2015,8,Everton,"17,947"
2015,9,Bournemouth,"17,270"
2015,10,Stoke City,"16,342"
2015,11,Southampton,"15,913"
2015,12,Aston Villa,"15,308"
2015,13,Newcastle United,"15,118"
2015,14,West Ham United,"15,031"
2015,15,Watford,"14,531"
2015,16,Norwich City,"14,483"
2015,17,Crystal Palace,"13,785"
2015,18,Leicester City,"13,370"
2015,19,Sunderland,"12,799"
2015,20,West Bromwich Albion,"12,262"
2014,1,Manchester City,"22,107"
2014,2,Manchester United,"21,311"
2014,3,Arsenal,"20,527"
2014,4,Chelsea,"20,268"
2014,5,Liverpool,"19,374"
2014,6,Tottenham Hotspur,"19,322"
2014,7,Everton,"18,809"
2014,8,Southampton,"18,184"
2014,9,Swansea City,"17,877"
2014,10,Aston Villa,"16,527"
2014,11,Stoke City,"15,386"
2014,12,Newcastle United,"15,019"
2014,13,Hull City,"14,864"
2014,14,Sunderland,"14,451"
2014,15,West Bromwich Albion,"14,445"
2014,16,Queens Park Rangers,"13,659"
2014,17,Burnley,"13,632"
2014,18,West Ham United,"13,568"
2014,19,Leicester City,"13,343"
2014,20,Crystal Palace,"12,071"
2013,1,Arsenal,"21,874"
2013,2,Swansea City,"21,122"
2013,3,Manchester City,"20,774"
2013,4,Liverpool,"19,612"
2013,5,Southampton,"19,592"
2013,6,Manchester United,"18,910"
2013,7,Everton,"18,319"
2013,8,Chelsea,"18,281"
2013,9,Tottenham Hotspur,"17,957"
2013,10,Newcastle United,"16,102"
2013,11,Stoke City,"15,336"
2013,12,Hull City,"15,321"
2013,13,Norwich City,"14,777"
2013,14,West Bromwich Albion,"14,717"
2013,15,Fulham,"14,689"
2013,16,Sunderland,"14,482"
2013,17,Cardiff City,"14,033"
2013,18,Aston Villa,"13,870"
2013,19,West Ham United,"12,380"
2013,20,Crystal Palace,"11,826"
2012,1,Arsenal,"21,381"
2012,2,Manchester City,"20,074"
2012,3,Swansea City,"19,965"
2012,4,Liverpool,"19,831"
2012,5,Manchester United,"19,709"
2012,6,Chelsea,"18,452"
2012,7,Wigan Athletic,"17,941"
2012,8,Fulham,"16,957"
2012,9,Southampton,"16,830"
2012,10,Tottenham Hotspur,"16,661"
2012,11,Everton,"15,844"
2012,12,Newcastle United,"14,604"
2012,13,West Bromwich Albion,"14,392"
2012,14,Aston Villa,"14,272"
2012,15,Queens Park Rangers,"13,649"
2012,16,Norwich City,"13,446"
2012,17,Sunderland,"13,132"
2012,18,West Ham United,"12,611"
2012,19,Stoke City,"12,344"
2012,20,Reading,"11,827"
2011,1,Manchester City,"20,863"
2011,2,Swansea City,"20,795"
2011,3,Arsenal,"20,613"
2011,4,Manchester United,"20,193"
2011,5,Tottenham Hotspur,"19,564"
2011,6,Liverpool,"18,797"
2011,7,Chelsea,"18,766"
2011,8,Fulham,"17,669"
2011,9,Wigan Athletic,"15,731"
2011,10,Norwich City,"15,165"
2011,11,Everton,"15,069"
2011,12,Wolverhampton Wanderers,"14,860"
2011,13,West Bromwich Albion,"14,691"
2011,14,Newcastle United,"14,638"
2011,15,Sunderland,"13,913"
2011,16,Bolton Wanderers,"13,580"
2011,17,Queens Park Rangers,"13,408"
2011,18,Aston Villa,"13,158"
2011,19,Blackburn Rovers,"12,424"
2011,20,Stoke City,"10,836"
2010,1,Arsenal,"20,150"
2010,2,Chelsea,"19,236"
2010,3,Manchester United,"18,870"
2010,4,Manchester City,"17,768"
2010,5,Tottenham Hotspur,"16,791"
2010,6,Liverpool,"16,734"
2010,7,Fulham,"16,345"
2010,8,Wigan Athletic,"15,180"
2010,9,Blackpool,"15,113"
2010,10,Wolverhampton Wanderers,"14,823"
2010,11,Aston Villa,"14,611"
2010,12,Everton,"14,371"
2010,13,West Bromwich Albion,"14,252"
2010,14,Newcastle United,"14,204"
2010,15,Sunderland,"14,166"
2010,16,Birmingham City,"14,036"
2010,17,West Ham United,"13,367"
2010,18,Bolton Wanderers,"12,704"
2010,19,Blackburn Rovers,"11,178"
2010,20,Stoke City,"10,349"
2009,1,Manchester United,"19,339"
2009,2,Arsenal,"19,301"
2009,3,Chelsea,"18,869"
2009,4,Liverpool,"18,590"
2009,5,Fulham,"16,513"
2009,6,Manchester City,"16,329"
2009,7,Tottenham Hotspur,"15,485"
2009,8,Everton,"14,845"
2009,9,Wigan Athletic,"14,758"
2009,10,West Ham United,"14,630"
2009,11,Burnley,"13,832"
2009,12,Birmingham City,"13,550"
2009,13,Portsmouth,"13,535"
2009,14,Aston Villa,"13,136"
2009,15,Wolverhampton Wanderers,"13,037"
2009,16,Sunderland,"12,499"
2009,17,Blackburn Rovers,"11,798"
2009,18,Hull City,"11,757"
2009,19,Bolton Wanderers,"11,430"
2009,20,Stoke City,"10,321"
2008,1,Chelsea,"19,940"
2008,2,Liverpool,"19,508"
2008,3,Manchester United,"19,444"
2008,4,Arsenal,"19,008"
2008,5,Fulham,"16,149"
2008,6,Manchester City,"15,983"
2008,7,Tottenham Hotspur,"15,723"
2008,8,West Ham United,"15,356"
2008,9,Everton,"15,070"
2008,10,West Bromwich Albion,"14,537"
2008,11,Portsmouth,"14,516"
2008,12,Newcastle United,"14,172"
2008,13,Sunderland,"14,163"
2008,14,Blackburn Rovers,"13,482"
2008,15,Middlesbrough,"13,148"
2008,16,Aston Villa,"12,419"
2008,17,Wigan Athletic,"12,346"
2008,18,Hull City,"11,818"
2008,19,Bolton Wanderers,"10,680"
2008,20,Stoke City,"9,554"
2007,1,Arsenal,"18,831"
2007,2,Manchester United,"17,422"
2007,3,Chelsea,"17,252"
2007,4,Liverpool,"16,360"
2007,5,Tottenham Hotspur,"15,466"
2007,6,Manchester City,"15,149"
2007,7,Newcastle United,"13,947"
2007,8,West Ham United,"13,773"
2007,9,Blackburn Rovers,"13,654"
2007,10,Portsmouth,"12,794"
2007,11,Sunderland,"12,736"
2007,12,Fulham,"12,583"
2007,13,Everton,"12,397"
2007,14,Middlesbrough,"12,217"
2007,15,Bolton Wanderers,"11,854"
2007,16,Derby County,"11,753"
2007,17,Wigan Athletic,"11,684"
2007,18,Aston Villa,"11,438"
2007,19,Birmingham City,"10,630"
2007,20,Reading,"10,442"
2006,1,Manchester United,"18,723"
2006,2,Arsenal,"18,467"
2006,3,Liverpool,"17,162"
2006,4,Chelsea,"16,769"
2006,5,Tottenham Hotspur,"14,914"
2006,6,Newcastle United,"14,628"
2006,7,Blackburn Rovers,"14,033"
2006,8,Aston Villa,"13,254"
2006,9,West Ham United,"13,189"
2006,10,Middlesbrough,"12,786"
2006,11,Manchester City,"12,765"
2006,12,Charlton Athletic,"12,722"
2006,13,Portsmouth,"12,616"
2006,14,Bolton Wanderers,"12,422"
2006,15,Everton,"12,274"
2006,16,Fulham,"11,820"
2006,17,Wigan Athletic,"11,353"
2006,18,Reading,"11,232"
2006,19,Sheffield United,"11,123"
2006,20,Watford,"10,175"
