Initial Year,Rank,Club,Stat
2022,1,Brighton & Hove Albion,232
2022,2,Manchester City,219
2022,3,Manchester United,215
2022,4,Liverpool,212
2022,5,Arsenal,204
2022,6,Tottenham Hotspur,199
2022,7,Newcastle United,197
2022,8,Brentford,162
2022,9,Chelsea,159
2022,10,Everton,152
2022,11,Leicester City,152
2022,12,Aston Villa,151
2022,13,Fulham,149
2022,14,Leeds United,145
2022,15,West Ham United,145
2022,16,Southampton,142
2022,17,Crystal Palace,136
2022,18,Bournemouth,133
2022,19,Wolverhampton Wanderers,126
2022,20,Nottingham Forest,118
2021,1,Liverpool,256
2021,2,Manchester City,254
2021,3,Chelsea,211
2021,4,Arsenal,198
2021,5,Tottenham Hotspur,198
2021,6,Manchester United,187
2021,7,Southampton,170
2021,8,Leicester City,169
2021,9,Aston Villa,162
2021,10,West Ham United,157
2021,11,Brentford,155
2021,12,Leeds United,154
2021,13,Brighton & Hove Albion,152
2021,14,Newcastle United,149
2021,15,Crystal Palace,147
2021,16,Everton,138
2021,17,Wolverhampton Wanderers,136
2021,18,Watford,127
2021,19,Burnley,125
2021,20,Norwich City,109
2020,1,Manchester City,218
2020,2,Liverpool,214
2020,3,Manchester United,213
2020,4,Chelsea,210
2020,5,Leeds United,199
2020,6,Aston Villa,186
2020,7,Leicester City,185
2020,8,Tottenham Hotspur,176
2020,9,Southampton,168
2020,10,West Ham United,165
2020,11,Wolverhampton Wanderers,154
2020,12,Arsenal,152
2020,13,Everton,148
2020,14,Brighton & Hove Albion,143
2020,15,Newcastle United,142
2020,16,Fulham,136
2020,17,Crystal Palace,132
2020,18,Burnley,130
2020,19,West Bromwich Albion,112
2020,20,Sheffield United,99
2019,1,Manchester City,266
2019,2,Liverpool,231
2019,3,Chelsea,223
2019,4,Manchester United,216
2019,5,Leicester City,191
2019,6,Southampton,181
2019,7,West Ham United,163
2019,8,Everton,162
2019,9,Tottenham Hotspur,160
2019,10,Arsenal,151
2019,11,Aston Villa,150
2019,12,Wolverhampton Wanderers,148
2019,13,Brighton & Hove Albion,143
2019,14,Burnley,134
2019,15,Newcastle United,133
2019,16,Norwich City,131
2019,17,Bournemouth,122
2019,18,Watford,122
2019,19,Crystal Palace,120
2019,20,Sheffield United,114
2018,1,Manchester City,260
2018,2,Liverpool,226
2018,3,Manchester United,225
2018,4,Chelsea,198
2018,5,Tottenham Hotspur,189
2018,6,Leicester City,184
2018,7,Arsenal,170
2018,8,Everton,169
2018,9,Bournemouth,163
2018,10,Southampton,162
2018,11,West Ham United,157
2018,12,Watford,152
2018,13,Wolverhampton Wanderers,152
2018,14,Crystal Palace,148
2018,15,Fulham,146
2018,16,Newcastle United,142
2018,17,Cardiff City,126
2018,18,Huddersfield Town,118
2018,19,Burnley,116
2018,20,Brighton & Hove Albion,108
2017,1,Manchester City,265
2017,2,Arsenal,234
2017,3,Liverpool,233
2017,4,Chelsea,220
2017,5,Tottenham Hotspur,216
2017,6,Manchester United,178
2017,7,Bournemouth,158
2017,8,Crystal Palace,151
2017,9,Leicester City,149
2017,10,Newcastle United,149
2017,11,Southampton,145
2017,12,West Ham United,133
2017,13,Stoke City,132
2017,14,Watford,132
2017,15,Burnley,128
2017,16,Everton,121
2017,17,Brighton & Hove Albion,119
2017,18,West Bromwich Albion,114
2017,19,Huddersfield Town,109
2017,20,Swansea City,103
2016,1,Tottenham Hotspur,257
2016,2,Liverpool,236
2016,3,Manchester City,216
2016,4,Manchester United,210
2016,5,Chelsea,204
2016,6,Arsenal,201
2016,7,Everton,191
2016,8,Southampton,179
2016,9,Bournemouth,160
2016,10,Leicester City,145
2016,11,Swansea City,145
2016,12,Watford,143
2016,13,Crystal Palace,138
2016,14,West Ham United,138
2016,15,Stoke City,137
2016,16,Hull City,126
2016,17,West Bromwich Albion,123
2016,18,Burnley,120
2016,19,Sunderland,119
2016,20,Middlesbrough,100
2015,1,Tottenham Hotspur,252
2015,2,Arsenal,211
2015,3,Manchester City,210
2015,4,Liverpool,202
2015,5,West Ham United,185
2015,6,Leicester City,179
2015,7,Everton,175
2015,8,Chelsea,173
2015,9,Southampton,166
2015,10,Crystal Palace,153
2015,11,Newcastle United,151
2015,12,Manchester United,144
2015,13,Bournemouth,143
2015,14,Sunderland,141
2015,15,Watford,140
2015,16,Swansea City,136
2015,17,Norwich City,129
2015,18,Stoke City,128
2015,19,Aston Villa,110
2015,20,West Bromwich Albion,107
2014,1,Manchester City,229
2014,2,Arsenal,227
2014,3,Chelsea,210
2014,4,Liverpool,192
2014,5,Manchester United,180
2014,6,Tottenham Hotspur,171
2014,7,Southampton,169
2014,8,Everton,166
2014,9,West Ham United,152
2014,10,Queens Park Rangers,150
2014,11,Swansea City,147
2014,12,Newcastle United,143
2014,13,Crystal Palace,139
2014,14,Leicester City,137
2014,15,Stoke City,136
2014,16,West Bromwich Albion,132
2014,17,Hull City,131
2014,18,Sunderland,130
2014,19,Aston Villa,125
2014,20,Burnley,125
2013,1,Liverpool,258
2013,2,Manchester City,238
2013,3,Chelsea,229
2013,4,Arsenal,213
2013,5,Everton,196
2013,6,Tottenham Hotspur,192
2013,7,Manchester United,183
2013,8,Newcastle United,182
2013,9,Southampton,179
2013,10,Swansea City,161
2013,11,Fulham,149
2013,12,Norwich City,148
2013,13,West Bromwich Albion,146
2013,14,Crystal Palace,143
2013,15,Sunderland,138
2013,16,Stoke City,137
2013,17,Aston Villa,135
2013,18,Hull City,132
2013,19,Cardiff City,124
2013,20,West Ham United,122
2012,1,Tottenham Hotspur,241
2012,2,Liverpool,232
2012,3,Manchester City,231
2012,4,Manchester United,213
2012,5,Chelsea,212
2012,6,Everton,207
2012,7,Arsenal,205
2012,8,Newcastle United,174
2012,9,West Bromwich Albion,170
2012,10,Wigan Athletic,170
2012,11,Southampton,167
2012,12,Swansea City,167
2012,13,Fulham,160
2012,14,West Ham United,158
2012,15,Queens Park Rangers,146
2012,16,Aston Villa,141
2012,17,Sunderland,139
2012,18,Norwich City,134
2012,19,Reading,128
2012,20,Stoke City,114
2011,1,Manchester City,250
2011,2,Manchester United,243
2011,3,Arsenal,236
2011,4,Tottenham Hotspur,230
2011,5,Chelsea,224
2011,6,Liverpool,207
2011,7,Fulham,195
2011,8,West Bromwich Albion,167
2011,9,Everton,164
2011,10,Norwich City,164
2011,11,Bolton Wanderers,163
2011,12,Wigan Athletic,162
2011,13,Newcastle United,154
2011,14,Wolverhampton Wanderers,152
2011,15,Queens Park Rangers,150
2011,16,Swansea City,145
2011,17,Blackburn Rovers,143
2011,18,Sunderland,141
2011,19,Aston Villa,138
2011,20,Stoke City,94
2010,1,Chelsea,244
2010,2,Arsenal,238
2010,3,Manchester United,212
2010,4,Liverpool,205
2010,5,Tottenham Hotspur,191
2010,6,West Bromwich Albion,184
2010,7,Everton,181
2010,8,Manchester City,177
2010,9,West Ham United,174
2010,10,Bolton Wanderers,173
2010,11,Fulham,172
2010,12,Wigan Athletic,170
2010,13,Newcastle United,168
2010,14,Aston Villa,165
2010,15,Blackpool,161
2010,16,Sunderland,154
2010,17,Stoke City,143
2010,18,Wolverhampton Wanderers,139
2010,19,Blackburn Rovers,135
2010,20,Birmingham City,121
2009,1,Chelsea,288
2009,2,Arsenal,233
2009,3,Tottenham Hotspur,226
2009,4,Manchester United,221
2009,5,Manchester City,195
2009,6,Everton,194
2009,7,West Ham United,191
2009,8,Liverpool,189
2009,9,Wigan Athletic,174
2009,10,Bolton Wanderers,163
2009,11,Blackburn Rovers,161
2009,12,Sunderland,159
2009,13,Aston Villa,158
2009,14,Birmingham City,155
2009,15,Burnley,153
2009,16,Portsmouth,151
2009,17,Fulham,144
2009,18,Hull City,120
2009,19,Wolverhampton Wanderers,119
2009,20,Stoke City,113
2008,1,Chelsea,248
2008,2,Manchester United,230
2008,3,Liverpool,224
2008,4,Arsenal,220
2008,5,Manchester City,201
2008,6,Tottenham Hotspur,177
2008,7,Everton,169
2008,8,West Ham United,167
2008,9,West Bromwich Albion,165
2008,10,Wigan Athletic,163
2008,11,Aston Villa,159
2008,12,Bolton Wanderers,154
2008,13,Portsmouth,152
2008,14,Fulham,149
2008,15,Hull City,149
2008,16,Blackburn Rovers,148
2008,17,Sunderland,144
2008,18,Middlesbrough,140
2008,19,Newcastle United,125
2008,20,Stoke City,100
2007,1,Manchester United,260
2007,2,Liverpool,214
2007,3,Arsenal,208
2007,4,Chelsea,199
2007,5,Tottenham Hotspur,195
2007,6,Blackburn Rovers,185
2007,7,Aston Villa,182
2007,8,Everton,169
2007,9,Portsmouth,160
2007,10,Fulham,154
2007,11,West Ham United,154
2007,12,Newcastle United,153
2007,13,Middlesbrough,152
2007,14,Bolton Wanderers,149
2007,15,Birmingham City,143
2007,16,Manchester City,143
2007,17,Wigan Athletic,141
2007,18,Sunderland,137
2007,19,Reading,132
2007,20,Derby County,116
2006,1,Manchester United,256
2006,2,Arsenal,226
2006,3,Chelsea,216
2006,4,Liverpool,214
2006,5,Portsmouth,186
2006,6,Tottenham Hotspur,184
2006,7,Blackburn Rovers,155
2006,8,Aston Villa,154
2006,9,Everton,153
2006,10,Manchester City,147
2006,11,Sheffield United,147
2006,12,Wigan Athletic,147
2006,13,Middlesbrough,144
2006,14,Fulham,142
2006,15,Newcastle United,140
2006,16,Watford,135
2006,17,West Ham United,134
2006,18,Charlton Athletic,133
2006,19,Reading,132
2006,20,Bolton Wanderers,120
