Initial Year,Rank,Club,Stat
2022,1,Brighton & Hove Albion,613
2022,2,Liverpool,605
2022,3,Manchester City,600
2022,4,Arsenal,593
2022,5,Manchester United,593
2022,6,Newcastle United,571
2022,7,Tottenham Hotspur,518
2022,8,Chelsea,484
2022,9,West Ham United,474
2022,10,Leeds United,462
2022,11,Aston Villa,431
2022,12,Everton,429
2022,13,Fulham,429
2022,14,Crystal Palace,426
2022,15,Leicester City,418
2022,16,Southampton,417
2022,17,Wolverhampton Wanderers,412
2022,18,Brentford,408
2022,19,Nottingham Forest,368
2022,20,Bournemouth,358
2021,1,Liverpool,729
2021,2,Manchester City,713
2021,3,Chelsea,592
2021,4,Arsenal,589
2021,5,Manchester United,508
2021,6,Tottenham Hotspur,491
2021,7,Brighton & Hove Albion,489
2021,8,Leeds United,485
2021,9,Southampton,482
2021,10,Aston Villa,464
2021,11,Newcastle United,449
2021,12,West Ham United,449
2021,13,Brentford,442
2021,14,Everton,437
2021,15,Leicester City,435
2021,16,Crystal Palace,412
2021,17,Burnley,407
2021,18,Wolverhampton Wanderers,402
2021,19,Watford,399
2021,20,Norwich City,373
2020,1,Liverpool,608
2020,2,Manchester City,599
2020,3,Chelsea,556
2020,4,Manchester United,526
2020,5,Leeds United,522
2020,6,Aston Villa,520
2020,7,Brighton & Hove Albion,487
2020,8,Leicester City,485
2020,9,West Ham United,468
2020,10,Wolverhampton Wanderers,463
2020,11,Arsenal,459
2020,12,Tottenham Hotspur,443
2020,13,Fulham,442
2020,14,Southampton,424
2020,15,Everton,400
2020,16,Newcastle United,397
2020,17,Burnley,384
2020,18,Crystal Palace,349
2020,19,West Bromwich Albion,339
2020,20,Sheffield United,323
2019,1,Manchester City,745
2019,2,Chelsea,625
2019,3,Liverpool,591
2019,4,Manchester United,544
2019,5,Leicester City,540
2019,6,Southampton,499
2019,7,Everton,469
2019,8,Brighton & Hove Albion,462
2019,9,Wolverhampton Wanderers,461
2019,10,Aston Villa,457
2019,11,Tottenham Hotspur,444
2019,12,Watford,424
2019,13,West Ham United,417
2019,14,Norwich City,409
2019,15,Arsenal,406
2019,16,Newcastle United,399
2019,17,Bournemouth,389
2019,18,Burnley,387
2019,19,Crystal Palace,376
2019,20,Sheffield United,353
2018,1,Manchester City,683
2018,2,Chelsea,607
2018,3,Liverpool,575
2018,4,Tottenham Hotspur,537
2018,5,Manchester United,526
2018,6,Leicester City,515
2018,7,Everton,498
2018,8,Crystal Palace,493
2018,9,Southampton,483
2018,10,Wolverhampton Wanderers,477
2018,11,Arsenal,467
2018,12,Fulham,454
2018,13,Bournemouth,446
2018,14,Newcastle United,446
2018,15,West Ham United,441
2018,16,Watford,437
2018,17,Cardiff City,417
2018,18,Huddersfield Town,400
2018,19,Brighton & Hove Albion,371
2018,20,Burnley,360
2017,1,Manchester City,665
2017,2,Liverpool,638
2017,3,Tottenham Hotspur,623
2017,4,Chelsea,606
2017,5,Arsenal,594
2017,6,Manchester United,512
2017,7,Crystal Palace,476
2017,8,Bournemouth,465
2017,9,Newcastle United,451
2017,10,Southampton,450
2017,11,Watford,440
2017,12,Leicester City,423
2017,13,Brighton & Hove Albion,384
2017,14,Stoke City,384
2017,15,Burnley,378
2017,16,West Bromwich Albion,378
2017,17,West Ham United,372
2017,18,Huddersfield Town,362
2017,19,Everton,359
2017,20,Swansea City,338
2016,1,Tottenham Hotspur,669
2016,2,Liverpool,640
2016,3,Manchester City,633
2016,4,Manchester United,591
2016,5,Chelsea,580
2016,6,Arsenal,566
2016,7,Southampton,550
2016,8,Everton,502
2016,9,West Ham United,499
2016,10,Bournemouth,451
2016,11,Crystal Palace,439
2016,12,Leicester City,433
2016,13,Stoke City,426
2016,14,Watford,422
2016,15,Swansea City,406
2016,16,West Bromwich Albion,400
2016,17,Hull City,397
2016,18,Burnley,392
2016,19,Sunderland,387
2016,20,Middlesbrough,351
2015,1,Tottenham Hotspur,659
2015,2,Liverpool,629
2015,3,Manchester City,615
2015,4,Arsenal,571
2015,5,West Ham United,558
2015,6,Chelsea,526
2015,7,Leicester City,522
2015,8,Southampton,519
2015,9,Everton,491
2015,10,Crystal Palace,469
2015,11,Bournemouth,464
2015,12,Watford,446
2015,13,Swansea City,441
2015,14,Sunderland,439
2015,15,Manchester United,430
2015,16,Stoke City,419
2015,17,Norwich City,418
2015,18,Newcastle United,397
2015,19,West Bromwich Albion,388
2015,20,Aston Villa,380
2014,1,Manchester City,670
2014,2,Arsenal,610
2014,3,Liverpool,590
2014,4,Chelsea,564
2014,5,Queens Park Rangers,534
2014,6,Tottenham Hotspur,527
2014,7,Manchester United,512
2014,8,Southampton,509
2014,9,Stoke City,500
2014,10,West Ham United,488
2014,11,Everton,483
2014,12,Newcastle United,468
2014,13,Leicester City,456
2014,14,Crystal Palace,441
2014,15,Burnley,430
2014,16,Hull City,428
2014,17,Swansea City,426
2014,18,Aston Villa,418
2014,19,West Bromwich Albion,412
2014,20,Sunderland,408
2013,1,Chelsea,692
2013,2,Manchester City,673
2013,3,Liverpool,651
2013,4,Tottenham Hotspur,588
2013,5,Newcastle United,579
2013,6,Everton,561
2013,7,Southampton,534
2013,8,Manchester United,526
2013,9,Arsenal,523
2013,10,Swansea City,496
2013,11,Sunderland,491
2013,12,West Bromwich Albion,487
2013,13,Norwich City,467
2013,14,Aston Villa,431
2013,15,Fulham,431
2013,16,Stoke City,428
2013,17,Hull City,427
2013,18,West Ham United,422
2013,19,Cardiff City,418
2013,20,Crystal Palace,414
2012,1,Liverpool,739
2012,2,Tottenham Hotspur,681
2012,3,Manchester City,660
2012,4,Everton,633
2012,5,Chelsea,626
2012,6,Arsenal,597
2012,7,Manchester United,561
2012,8,Newcastle United,533
2012,9,Southampton,516
2012,10,West Bromwich Albion,506
2012,11,Swansea City,504
2012,12,Queens Park Rangers,500
2012,13,Wigan Athletic,500
2012,14,West Ham United,492
2012,15,Fulham,460
2012,16,Aston Villa,438
2012,17,Sunderland,417
2012,18,Norwich City,413
2012,19,Reading,394
2012,20,Stoke City,390
2011,1,Manchester City,738
2011,2,Tottenham Hotspur,701
2011,3,Chelsea,671
2011,4,Liverpool,667
2011,5,Manchester United,646
2011,6,Arsenal,637
2011,7,West Bromwich Albion,544
2011,8,Fulham,541
2011,9,Queens Park Rangers,539
2011,10,Everton,520
2011,11,Wigan Athletic,519
2011,12,Norwich City,514
2011,13,Bolton Wanderers,495
2011,14,Newcastle United,489
2011,15,Wolverhampton Wanderers,473
2011,16,Swansea City,472
2011,17,Sunderland,458
2011,18,Blackburn Rovers,453
2011,19,Aston Villa,438
2011,20,Stoke City,376
2010,1,Chelsea,745
2010,2,Tottenham Hotspur,657
2010,3,Arsenal,654
2010,4,Manchester United,618
2010,5,West Bromwich Albion,597
2010,6,Liverpool,582
2010,7,Everton,580
2010,8,West Ham United,572
2010,9,Bolton Wanderers,570
2010,10,Fulham,547
2010,11,Manchester City,546
2010,12,Sunderland,532
2010,13,Blackpool,531
2010,14,Wigan Athletic,511
2010,15,Newcastle United,507
2010,16,Aston Villa,506
2010,17,Stoke City,482
2010,18,Wolverhampton Wanderers,459
2010,19,Blackburn Rovers,453
2010,20,Birmingham City,401
2009,1,Chelsea,834
2009,2,Manchester United,695
2009,3,Tottenham Hotspur,681
2009,4,Arsenal,660
2009,5,Liverpool,642
2009,6,Everton,589
2009,7,Bolton Wanderers,558
2009,8,Wigan Athletic,555
2009,9,West Ham United,549
2009,10,Portsmouth,533
2009,11,Manchester City,526
2009,12,Aston Villa,497
2009,13,Blackburn Rovers,489
2009,14,Fulham,463
2009,15,Burnley,459
2009,16,Birmingham City,452
2009,17,Sunderland,444
2009,18,Wolverhampton Wanderers,436
2009,19,Stoke City,402
2009,20,Hull City,388
2008,1,Chelsea,797
2008,2,Liverpool,736
2008,3,Manchester United,715
2008,4,Arsenal,662
2008,5,Wigan Athletic,590
2008,6,Manchester City,572
2008,7,West Bromwich Albion,559
2008,8,Tottenham Hotspur,544
2008,9,West Ham United,515
2008,10,Fulham,511
2008,11,Portsmouth,500
2008,12,Middlesbrough,498
2008,13,Everton,496
2008,14,Bolton Wanderers,488
2008,15,Hull City,476
2008,16,Blackburn Rovers,473
2008,17,Sunderland,473
2008,18,Aston Villa,472
2008,19,Newcastle United,444
2008,20,Stoke City,364
2007,1,Manchester United,696
2007,2,Liverpool,686
2007,3,Arsenal,627
2007,4,Chelsea,605
2007,5,Portsmouth,559
2007,6,Tottenham Hotspur,555
2007,7,Blackburn Rovers,530
2007,8,Aston Villa,511
2007,9,West Ham United,500
2007,10,Middlesbrough,499
2007,11,Wigan Athletic,489
2007,12,Sunderland,483
2007,13,Newcastle United,481
2007,14,Everton,474
2007,15,Fulham,469
2007,16,Bolton Wanderers,451
2007,17,Reading,441
2007,18,Manchester City,423
2007,19,Birmingham City,414
2007,20,Derby County,376
2006,1,Manchester United,698
2006,2,Liverpool,668
2006,3,Arsenal,638
2006,4,Chelsea,636
2006,5,Portsmouth,525
2006,6,Tottenham Hotspur,520
2006,7,Sheffield United,483
2006,8,Blackburn Rovers,478
2006,9,Wigan Athletic,474
2006,10,Aston Villa,470
2006,11,Everton,465
2006,12,West Ham United,461
2006,13,Manchester City,454
2006,14,Middlesbrough,454
2006,15,Newcastle United,454
2006,16,Fulham,451
2006,17,Reading,419
2006,18,Charlton Athletic,418
2006,19,Watford,418
2006,20,Bolton Wanderers,404
