Initial Year,Rank,Club,Stat
2022,1,Manchester United,105
2022,2,Liverpool,103
2022,3,Manchester City,94
2022,4,Newcastle United,88
2022,5,Arsenal,86
2022,6,Brighton & Hove Albion,81
2022,7,Leicester City,76
2022,8,Tottenham Hotspur,74
2022,9,Chelsea,58
2022,10,Aston Villa,54
2022,11,Brentford,53
2022,12,Bournemouth,49
2022,13,Wolverhampton Wanderers,49
2022,14,Crystal Palace,41
2022,15,Leeds United,41
2022,16,West Ham United,41
2022,17,Everton,39
2022,18,Southampton,38
2022,19,Nottingham Forest,31
2022,20,Fulham,20
2021,1,Liverpool,112
2021,2,Manchester City,102
2021,3,Tottenham Hotspur,88
2021,4,Manchester United,80
2021,5,Arsenal,77
2021,6,Chelsea,77
2021,7,Aston Villa,71
2021,8,Leeds United,66
2021,9,Leicester City,65
2021,10,Brighton & Hove Albion,58
2021,11,Wolverhampton Wanderers,58
2021,12,Brentford,50
2021,13,Norwich City,50
2021,14,Southampton,45
2021,15,Crystal Palace,40
2021,16,Watford,35
2021,17,Burnley,32
2021,18,Newcastle United,31
2021,19,Everton,30
2021,20,West Ham United,29
2020,1,Liverpool,44
2020,2,Manchester City,38
2020,3,Leicester City,35
2020,4,Arsenal,34
2020,5,Manchester United,34
2020,6,Chelsea,30
2020,7,Everton,28
2020,8,Leeds United,28
2020,9,Tottenham Hotspur,28
2020,10,Wolverhampton Wanderers,20
2020,11,Brighton & Hove Albion,17
2020,12,Fulham,17
2020,13,Southampton,16
2020,14,West Ham United,15
2020,15,Sheffield United,13
2020,16,West Bromwich Albion,13
2020,17,Aston Villa,12
2020,18,Newcastle United,12
2020,19,Burnley,10
2020,20,Crystal Palace,8
2019,1,Manchester City,85
2019,2,Tottenham Hotspur,79
2019,3,Leicester City,69
2019,4,Liverpool,68
2019,5,Arsenal,67
2019,6,Manchester United,64
2019,7,Chelsea,61
2019,8,Everton,55
2019,9,Norwich City,47
2019,10,Wolverhampton Wanderers,40
2019,11,West Ham United,38
